index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
115,Bert-Large,WikiText,4,256/16,0.47,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,64,0.75
116,Bert-Large,WikiText,4,256/16,0.39,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,128,0.79
117,Bert-Large,WikiText,4,256/16,0.33,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,32,0.75
118,Bert-Large,WikiText,4,256/16,0.25,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,64,0.84
119,Bert-Large,WikiText,4,256/16,0.0,"0,1,2,3","6,6,6,6",vgg19,ImageNet,4,128,0.0
120,Bert-Large,WikiText,4,256/16,0.62,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,32,0.69
121,Bert-Large,WikiText,4,256/16,0.6,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,64,0.64
122,Bert-Large,WikiText,4,256/16,0.59,"0,1,2,3","6,6,6,6",DCGAN,LSUN,4,128,0.79
123,Bert-Large,WikiText,4,256/16,0.48,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,32,0.85
124,Bert-Large,WikiText,4,256/16,0.4,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,64,0.85
125,Bert-Large,WikiText,4,256/16,0.27,"0,1,2,3","6,6,6,6",PointNet,ShapeNet,4,128,0.99
126,Bert-Large,WikiText,4,256/16,0.0,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,32,0.0
127,Bert-Large,WikiText,4,256/16,0.49,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,64,0.86
128,Bert-Large,WikiText,4,256/16,0.39,"0,1,2,3","4,8,8,4",resnet50,ImageNet,4,128,0.86
129,Bert-Large,WikiText,4,256/16,0.33,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,32,0.79
130,Bert-Large,WikiText,4,256/16,0.24,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,64,0.85
131,Bert-Large,WikiText,4,256/16,0.0,"0,1,2,3","4,8,8,4",vgg19,ImageNet,4,128,0.0
132,Bert-Large,WikiText,4,256/16,0.66,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,32,0.77
133,Bert-Large,WikiText,4,256/16,0.65,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,64,0.77
134,Bert-Large,WikiText,4,256/16,0.63,"0,1,2,3","4,8,8,4",DCGAN,LSUN,4,128,0.9
135,Bert-Large,WikiText,4,256/16,0.5,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,32,0.94
136,Bert-Large,WikiText,4,256/16,0.39,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,64,0.94
137,Bert-Large,WikiText,4,256/16,0.26,"0,1,2,3","4,8,8,4",PointNet,ShapeNet,4,128,1.0
138,Bert-Large,WikiText,4,256/16,0.55,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,32,0.8
139,Bert-Large,WikiText,4,256/16,0.46,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,64,0.95
140,Bert-Large,WikiText,4,256/16,0.38,"0,1,2,3","2,8,8,6",resnet50,ImageNet,4,128,0.92
141,Bert-Large,WikiText,4,256/16,0.32,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,32,0.83
142,Bert-Large,WikiText,4,256/16,0.24,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,64,0.84
143,Bert-Large,WikiText,4,256/16,0.0,"0,1,2,3","2,8,8,6",vgg19,ImageNet,4,128,0.0
144,Bert-Large,WikiText,4,256/16,0.62,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,32,0.9
145,Bert-Large,WikiText,4,256/16,0.6,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,64,0.92
146,Bert-Large,WikiText,4,256/16,0.58,"0,1,2,3","2,8,8,6",DCGAN,LSUN,4,128,1.0
147,Bert-Large,WikiText,4,256/16,0.48,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,32,1.0
148,Bert-Large,WikiText,4,256/16,0.37,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,64,1.0
149,Bert-Large,WikiText,4,256/16,0.26,"0,1,2,3","2,8,8,6",PointNet,ShapeNet,4,128,1.0
150,Bert-Large,WikiText,4,256/16,0.5,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,32,0.81
151,Bert-Large,WikiText,4,256/16,0.41,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,64,0.97
152,Bert-Large,WikiText,4,256/16,0.33,"0,1,2,3","2,10,10,2",resnet50,ImageNet,4,128,0.89
153,Bert-Large,WikiText,4,256/16,0.29,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,32,0.82
154,Bert-Large,WikiText,4,256/16,0.2,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,64,0.85
155,Bert-Large,WikiText,4,256/16,0.0,"0,1,2,3","2,10,10,2",vgg19,ImageNet,4,128,0.0
156,Bert-Large,WikiText,4,256/16,0.6,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,32,0.93
157,Bert-Large,WikiText,4,256/16,0.59,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,64,0.87
158,Bert-Large,WikiText,4,256/16,0.56,"0,1,2,3","2,10,10,2",DCGAN,LSUN,4,128,1.0
159,Bert-Large,WikiText,4,256/16,0.43,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,32,1.0
160,Bert-Large,WikiText,4,256/16,0.33,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,64,0.99
161,Bert-Large,WikiText,4,256/16,0.26,"0,1,2,3","2,10,10,2",PointNet,ShapeNet,4,128,1.0
162,GPT2-Medium,WikiText,2,512/8,0.57,"0,1","10,14",resnet50,ImageNet,2,32,0.57
163,GPT2-Medium,WikiText,2,512/8,0.54,"0,1","10,14",resnet50,ImageNet,2,64,0.65
164,GPT2-Medium,WikiText,2,512/8,0.43,"0,1","10,14",resnet50,ImageNet,2,128,0.78
165,GPT2-Medium,WikiText,2,512/8,0.42,"0,1","10,14",vgg19,ImageNet,2,32,0.73
166,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","10,14",vgg19,ImageNet,2,64,0.83
167,GPT2-Medium,WikiText,2,512/8,0.21,"0,1","10,14",vgg19,ImageNet,2,128,0.9
168,GPT2-Medium,WikiText,2,512/8,0.73,"0,1","10,14",DCGAN,LSUN,2,32,0.7
169,GPT2-Medium,WikiText,2,512/8,0.71,"0,1","10,14",DCGAN,LSUN,2,64,0.74
170,GPT2-Medium,WikiText,2,512/8,0.68,"0,1","10,14",DCGAN,LSUN,2,128,0.72
171,GPT2-Medium,WikiText,2,512/8,0.56,"0,1","10,14",PointNet,ShapeNet,2,32,0.78
172,GPT2-Medium,WikiText,2,512/8,0.5,"0,1","10,14",PointNet,ShapeNet,2,64,0.85
173,GPT2-Medium,WikiText,2,512/8,0.37,"0,1","10,14",PointNet,ShapeNet,2,128,0.94
174,GPT2-Medium,WikiText,2,512/8,0.49,"0,1","8,16",resnet50,ImageNet,2,32,0.65
175,GPT2-Medium,WikiText,2,512/8,0.48,"0,1","8,16",resnet50,ImageNet,2,64,0.76
176,GPT2-Medium,WikiText,2,512/8,0.41,"0,1","8,16",resnet50,ImageNet,2,128,0.85
177,GPT2-Medium,WikiText,2,512/8,0.35,"0,1","8,16",vgg19,ImageNet,2,32,0.75
178,GPT2-Medium,WikiText,2,512/8,0.29,"0,1","8,16",vgg19,ImageNet,2,64,0.84
179,GPT2-Medium,WikiText,2,512/8,0.21,"0,1","8,16",vgg19,ImageNet,2,128,0.89
180,GPT2-Medium,WikiText,2,512/8,0.66,"0,1","8,16",DCGAN,LSUN,2,32,0.8
181,GPT2-Medium,WikiText,2,512/8,0.63,"0,1","8,16",DCGAN,LSUN,2,64,0.81
182,GPT2-Medium,WikiText,2,512/8,0.62,"0,1","8,16",DCGAN,LSUN,2,128,0.84
183,GPT2-Medium,WikiText,2,512/8,0.5,"0,1","8,16",PointNet,ShapeNet,2,32,0.89
184,GPT2-Medium,WikiText,2,512/8,0.47,"0,1","8,16",PointNet,ShapeNet,2,64,0.94
185,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","8,16",PointNet,ShapeNet,2,128,0.98
186,GPT2-Medium,WikiText,2,512/8,0.47,"0,1","6,18",resnet50,ImageNet,2,32,0.79
187,GPT2-Medium,WikiText,2,512/8,0.42,"0,1","6,18",resnet50,ImageNet,2,64,0.81
188,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","6,18",resnet50,ImageNet,2,128,0.88
189,GPT2-Medium,WikiText,2,512/8,0.35,"0,1","6,18",vgg19,ImageNet,2,32,0.82
190,GPT2-Medium,WikiText,2,512/8,0.28,"0,1","6,18",vgg19,ImageNet,2,64,0.87
191,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","6,18",vgg19,ImageNet,2,128,0.0
192,GPT2-Medium,WikiText,2,512/8,0.6,"0,1","6,18",DCGAN,LSUN,2,32,0.8
193,GPT2-Medium,WikiText,2,512/8,0.58,"0,1","6,18",DCGAN,LSUN,2,64,0.91
194,GPT2-Medium,WikiText,2,512/8,0.55,"0,1","6,18",DCGAN,LSUN,2,128,0.97
195,GPT2-Medium,WikiText,2,512/8,0.47,"0,1","6,18",PointNet,ShapeNet,2,32,0.98
